code,min_wage,max_wage,employee_amount,employer_amount,calculation_method
EIS_LOCAL,300.01,400.00,0.70,0.70,fixed
EIS_LOCAL,400.01,500.00,0.90,0.90,fixed
EIS_LOCAL,500.01,600.00,1.10,1.10,fixed
EIS_LOCAL,600.01,700.00,1.30,1.30,fixed
EIS_LOCAL,700.01,800.00,1.50,1.50,fixed
EIS_LOCAL,800.01,900.00,1.70,1.70,fixed
EIS_LOCAL,900.01,1000.00,1.90,1.90,fixed
EIS_LOCAL,1000.01,1100.00,2.10,2.10,fixed
EIS_LOCAL,1100.01,1200.00,2.30,2.30,fixed
EIS_LOCAL,1200.01,1300.00,2.50,2.50,fixed
EIS_LOCAL,1300.01,1400.00,2.70,2.70,fixed
EIS_LOCAL,1400.01,1500.00,2.90,2.90,fixed
EIS_LOCAL,1500.01,1600.00,3.10,3.10,fixed
EIS_LOCAL,1600.01,1700.00,3.30,3.30,fixed
EIS_LOCAL,1700.01,1800.00,3.50,3.50,fixed
EIS_LOCAL,1800.01,1900.00,3.70,3.70,fixed
EIS_LOCAL,1900.01,2000.00,3.90,3.90,fixed
EIS_LOCAL,2000.01,2100.00,4.10,4.10,fixed
EIS_LOCAL,2100.01,2200.00,4.30,4.30,fixed
EIS_LOCAL,2200.01,2300.00,4.50,4.50,fixed
EIS_LOCAL,2300.01,2400.00,4.70,4.70,fixed
EIS_LOCAL,2400.01,2500.00,4.90,4.90,fixed
EIS_LOCAL,2500.01,2600.00,5.10,5.10,fixed
EIS_LOCAL,2600.01,2700.00,5.30,5.30,fixed
EIS_LOCAL,2700.01,2800.00,5.50,5.50,fixed
EIS_LOCAL,2800.01,2900.00,5.70,5.70,fixed
EIS_LOCAL,2900.01,3000.00,5.90,5.90,fixed
EIS_LOCAL,3000.01,3100.00,6.10,6.10,fixed
EIS_LOCAL,3100.01,3200.00,6.30,6.30,fixed
EIS_LOCAL,3200.01,3300.00,6.50,6.50,fixed
EIS_LOCAL,3300.01,3400.00,6.70,6.70,fixed
EIS_LOCAL,3400.01,3500.00,6.90,6.90,fixed
EIS_LOCAL,3500.01,3600.00,7.10,7.10,fixed
EIS_LOCAL,3600.01,3700.00,7.30,7.30,fixed
EIS_LOCAL,3700.01,3800.00,7.50,7.50,fixed
EIS_LOCAL,3800.01,3900.00,7.70,7.70,fixed
EIS_LOCAL,3900.01,4000.00,7.90,7.90,fixed
EIS_LOCAL,4000.01,4100.00,8.10,8.10,fixed
EIS_LOCAL,4100.01,4200.00,8.30,8.30,fixed
EIS_LOCAL,4200.01,4300.00,8.50,8.50,fixed
EIS_LOCAL,4300.01,4400.00,8.70,8.70,fixed
EIS_LOCAL,4400.01,4500.00,8.90,8.90,fixed
EIS_LOCAL,4500.01,4600.00,9.10,9.10,fixed
EIS_LOCAL,4600.01,4700.00,9.30,9.30,fixed
EIS_LOCAL,4700.01,4800.00,9.50,9.50,fixed
EIS_LOCAL,4800.01,4900.00,9.70,9.70,fixed
EIS_LOCAL,4900.01,5000.00,9.90,9.90,fixed
EIS_LOCAL,5000.01,5100.00,10.10,10.10,fixed
EIS_LOCAL,5100.01,5200.00,10.30,10.30,fixed
EIS_LOCAL,5200.01,5300.00,10.50,10.50,fixed
EIS_LOCAL,5300.01,5400.00,10.70,10.70,fixed
EIS_LOCAL,5400.01,5500.00,10.90,10.90,fixed
EIS_LOCAL,5500.01,5600.00,11.10,11.10,fixed
EIS_LOCAL,5600.01,5700.00,11.30,11.30,fixed
EIS_LOCAL,5700.01,5800.00,11.50,11.50,fixed
EIS_LOCAL,5800.01,5900.00,11.70,11.70,fixed
EIS_LOCAL,5900.01,6000.00,11.90,11.90,fixed
EIS_LOCAL,6000.01,,11.90,11.90,fixed
