code,min_wage,max_wage,employee_amount,employer_amount,calculation_method,min_age,max_age
SOCSO_JUNE_2026,0.01,30,0.30,0.40,fixed,0,59
SOCSO_JUNE_2026,0.01,30,0.20,0.30,fixed,60,999
SOCSO_JUNE_2026,30.01,50,0.50,0.70,fixed,0,59
SOCSO_JUNE_2026,30.01,50,0.30,0.50,fixed,60,999
SOCSO_JUNE_2026,50.01,70,0.80,1.10,fixed,0,59
SOCSO_JUNE_2026,50.01,70,0.50,0.80,fixed,60,999
SOCSO_JUNE_2026,70.01,100,1.10,1.50,fixed,0,59
SOCSO_JUNE_2026,70.01,100,0.65,1.10,fixed,60,999
SOCSO_JUNE_2026,100.01,140,1.50,2.10,fixed,0,59
SOCSO_JUNE_2026,100.01,140,0.90,1.50,fixed,60,999
SOCSO_JUNE_2026,140.01,200,2.10,2.95,fixed,0,59
SOCSO_JUNE_2026,140.01,200,1.25,2.10,fixed,60,999
SOCSO_JUNE_2026,200.01,300,3.10,4.35,fixed,0,59
SOCSO_JUNE_2026,200.01,300,2.65,3.10,fixed,60,999
SOCSO_JUNE_2026,300.01,400,4.40,6.15,fixed,0,59
SOCSO_JUNE_2026,300.01,400,2.65,4.40,fixed,60,999
SOCSO_JUNE_2026,400.01,500,5.60,7.85,fixed,0,59
SOCSO_JUNE_2026,400.01,500,3.35,5.60,fixed,60,999
SOCSO_JUNE_2026,500.01,600,6.90,9.65,fixed,0,59
SOCSO_JUNE_2026,500.01,600,4.15,6.90,fixed,60,999
SOCSO_JUNE_2026,600.01,700,8.10,11.35,fixed,0,59
SOCSO_JUNE_2026,600.01,700,4.85,8.10,fixed,60,999
SOCSO_JUNE_2026,700.01,800,9.40,13.15,fixed,0,59
SOCSO_JUNE_2026,700.01,800,3.75,9.40,fixed,60,999
SOCSO_JUNE_2026,800.01,900,10.60,14.85,fixed,0,59
SOCSO_JUNE_2026,800.01,900,6.35,10.60,fixed,60,999
SOCSO_JUNE_2026,900.01,1000,11.90,16.65,fixed,0,59
SOCSO_JUNE_2026,900.01,1000,7.15,11.90,fixed,60,999
SOCSO_JUNE_2026,1000.01,1100,13.10,18.35,fixed,0,59
SOCSO_JUNE_2026,1000.01,1100,7.85,13.10,fixed,60,999
SOCSO_JUNE_2026,1100.01,1200,14.40,20.15,fixed,0,59
SOCSO_JUNE_2026,1100.01,1200,8.65,14.40,fixed,60,999
SOCSO_JUNE_2026,1200.01,1300,15.60,21.85,fixed,0,59
SOCSO_JUNE_2026,1200.01,1300,9.35,15.60,fixed,60,999
SOCSO_JUNE_2026,1300.01,1400,16.90,23.65,fixed,0,59
SOCSO_JUNE_2026,1300.01,1400,10.15,16.90,fixed,60,999
SOCSO_JUNE_2026,1400.01,1500,18.10,25.35,fixed,0,59
SOCSO_JUNE_2026,1400.01,1500,10.85,18.10,fixed,60,999
SOCSO_JUNE_2026,1500.01,1600,19.40,27.15,fixed,0,59
SOCSO_JUNE_2026,1500.01,1600,11.65,19.40,fixed,60,999
SOCSO_JUNE_2026,1600.01,1700,20.60,28.85,fixed,0,59
SOCSO_JUNE_2026,1600.01,1700,12.35,20.60,fixed,60,999
SOCSO_JUNE_2026,1700.01,1800,21.90,30.65,fixed,0,59
SOCSO_JUNE_2026,1700.01,1800,13.15,21.90,fixed,60,999
SOCSO_JUNE_2026,1800.01,1900,23.10,32.35,fixed,0,59
SOCSO_JUNE_2026,1800.01,1900,13.85,23.10,fixed,60,999
SOCSO_JUNE_2026,1900.01,2000,24.40,34.15,fixed,0,59
SOCSO_JUNE_2026,1900.01,2000,14.65,24.40,fixed,60,999
SOCSO_JUNE_2026,2000.01,2100,25.60,35.85,fixed,0,59
SOCSO_JUNE_2026,2000.01,2100,15.35,25.60,fixed,60,999
SOCSO_JUNE_2026,2100.01,2200,26.90,37.65,fixed,0,59
